City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
128,Waldshut-Tiengen,DE,2022-10-13 21:00:27,47.6232,8.2172,58.05,94,100,1.23,overcast clouds
129,Olafsvik,IS,2022-10-13 21:00:28,64.8945,-23.7142,39.99,75,70,20.96,broken clouds
130,Prado,BR,2022-10-13 21:00:28,-17.3411,-39.2208,75.25,75,0,8.03,clear sky
131,Lixourion,GR,2022-10-13 21:00:29,38.2019,20.4314,67.6,81,100,6.06,overcast clouds
132,Ornskoldsvik,SE,2022-10-13 21:00:29,63.2909,18.7153,45.55,100,100,2.3,fog
133,Lichinga,MZ,2022-10-13 21:00:30,-13.3128,35.2406,67.73,30,2,10.13,clear sky
134,Bubaque,GW,2022-10-13 21:00:30,11.2833,-15.8333,81.68,77,77,11.48,broken clouds
135,Faanui,PF,2022-10-13 21:00:31,-16.4833,-151.75,78.93,72,17,11.45,few clouds
136,Cordoba,AR,2022-10-13 20:56:42,-31.4135,-64.1811,66.76,17,0,14.97,clear sky
137,Saskylakh,RU,2022-10-13 21:00:31,71.9167,114.0833,17.6,95,100,8.16,overcast clouds
138,Portland,US,2022-10-13 21:00:20,45.5234,-122.6762,86.05,41,27,4.0,scattered clouds
139,Hasaki,JP,2022-10-13 21:00:32,35.7333,140.8333,59.29,89,100,26.64,overcast clouds
140,Cam Ranh,VN,2022-10-13 21:00:33,11.9214,109.1591,71.56,94,75,6.91,light rain
141,Codrington,AU,2022-10-13 21:00:33,-38.2667,141.9667,50.31,89,100,17.38,light rain
142,Aktash,RU,2022-10-13 21:00:34,50.3,87.7333,23.34,68,0,2.26,clear sky
143,Port Blair,IN,2022-10-13 21:00:26,11.6667,92.75,79.59,80,5,5.46,clear sky
144,Owando,CG,2022-10-13 21:00:35,-0.4819,15.8999,72.82,91,99,1.03,light rain
145,Puerto Ayora,EC,2022-10-13 21:00:35,-0.7393,-90.3518,69.55,89,85,7.0,overcast clouds
146,Nicoya,CR,2022-10-13 21:00:36,10.1483,-85.452,79.11,88,100,4.65,light rain
147,Port Alfred,ZA,2022-10-13 21:00:36,-33.5906,26.891,68.18,95,100,5.01,overcast clouds
148,Asau,RO,2022-10-13 21:00:37,46.4333,26.4,49.28,99,100,2.21,overcast clouds
149,Takoradi,GH,2022-10-13 21:00:37,4.8845,-1.7554,77.04,89,71,9.26,light rain
150,Lingao,CN,2022-10-13 21:00:38,19.9103,109.6859,75.24,66,100,9.91,overcast clouds
151,Kapaa,US,2022-10-13 20:57:39,22.0752,-159.319,83.19,76,14,3.0,few clouds
152,Vila Do Maio,CV,2022-10-13 21:00:39,15.1333,-23.2167,79.23,77,99,13.71,overcast clouds
153,San Blas,MX,2022-10-13 21:00:39,21.5167,-105.2667,93.09,59,98,6.67,overcast clouds
154,Atar,MR,2022-10-13 21:00:40,20.5169,-13.0499,88.27,25,100,10.98,overcast clouds
155,Broome,US,2022-10-13 21:00:40,42.2506,-75.833,57.45,78,100,9.22,light rain
156,Ketchikan,US,2022-10-13 21:00:40,55.3422,-131.6461,53.1,98,100,8.01,moderate rain
157,Xixiang,CN,2022-10-13 21:00:41,35.1628,112.865,62.02,42,100,3.78,overcast clouds
158,Sao Felix Do Xingu,BR,2022-10-13 21:00:41,-6.6447,-51.995,85.12,52,89,6.11,overcast clouds
159,Mountain Home,US,2022-10-13 21:00:43,43.133,-115.6912,75.6,17,6,4.68,clear sky
160,Razole,IN,2022-10-13 21:00:43,16.4833,81.8333,75.2,94,78,2.35,light rain
161,Kahului,US,2022-10-13 21:00:05,20.8947,-156.47,80.31,73,10,6.87,clear sky
162,Poum,NC,2022-10-13 21:00:45,-20.2333,164.0167,73.78,67,4,11.36,clear sky
163,Bambanglipuro,ID,2022-10-13 21:00:45,-7.95,110.2833,76.21,87,100,7.31,light rain
164,Mount Gambier,AU,2022-10-13 20:57:27,-37.8333,140.7667,51.71,93,75,18.41,light intensity shower rain
165,Ilulissat,GL,2022-10-13 21:00:46,69.2167,-51.1,26.62,93,75,3.44,broken clouds
166,Tuy Hoa,VN,2022-10-13 21:00:47,13.0833,109.3,71.64,94,100,12.01,very heavy rain
