City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
156,Christchurch,-43.5333,172.6333,53.94,76,100,1.14,NZ,2022-10-12 21:24:53
157,Samarai,-10.6167,150.6667,80.82,78,94,6.29,PG,2022-10-12 21:24:54
158,Luderitz,-26.6481,15.1594,63.79,75,100,11.43,NA,2022-10-12 21:24:55
159,De-Kastri,51.4667,140.7833,37.87,73,98,3.53,RU,2022-10-12 21:24:56
160,Bethel,41.3712,-73.414,66.36,58,0,8.05,US,2022-10-12 21:24:56
161,Abu Samrah,35.3029,37.1841,72.27,50,97,6.98,SY,2022-10-12 21:24:57
162,Carmen,18.6333,-91.8333,87.84,66,20,0.0,MX,2022-10-12 21:24:57
163,Ochakiv,46.6128,31.5498,57.43,52,44,4.61,UA,2022-10-12 21:24:58
164,Maridi,4.9158,29.4742,67.82,82,98,2.91,SS,2022-10-12 21:24:58
165,Paracatu,-17.2222,-46.8747,83.16,21,29,4.76,BR,2022-10-12 21:20:23
166,New Norfolk,-42.7826,147.0587,60.71,71,100,4.0,AU,2022-10-12 21:24:59
167,Victoria,22.2855,114.1577,76.32,67,14,10.0,HK,2022-10-12 21:20:33
168,Chuhar Kana,31.75,73.8,73.18,46,0,1.72,PK,2022-10-12 21:25:00
169,Kamenka,51.3223,42.7678,45.3,83,95,8.7,RU,2022-10-12 21:25:01
170,Port Macquarie,-31.4333,152.9167,63.9,71,98,2.75,AU,2022-10-12 21:25:02
171,Ahuimanu,21.4447,-157.8378,86.16,67,75,6.91,US,2022-10-12 21:25:03
172,Westport,41.1415,-73.3579,66.31,59,0,10.36,US,2022-10-12 21:22:33
173,San Patricio,28.017,-97.5169,95.72,59,77,14.38,US,2022-10-12 21:25:05
174,Nuevo Progreso,23.1667,-97.95,86.54,65,100,4.0,MX,2022-10-12 21:25:07
175,Esperance,-33.8667,121.9,54.19,64,98,18.07,AU,2022-10-12 21:25:08
176,Locri,38.2414,16.2623,67.32,83,100,3.2,IT,2022-10-12 21:25:08
177,Tasiilaq,65.6145,-37.6368,30.36,93,100,4.05,GL,2022-10-12 21:25:09
178,Ostrovnoy,68.0531,39.5131,41.63,82,100,13.91,RU,2022-10-12 21:25:10
179,Leeton,-34.5667,146.4,59.9,88,100,13.35,AU,2022-10-12 21:21:01
180,Barrow,71.2906,-156.7887,30.22,80,40,17.27,US,2022-10-12 21:25:12
181,Fairbanks,64.8378,-147.7164,29.61,89,100,6.91,US,2022-10-12 21:25:13
182,Muriwai Beach,-36.8167,174.45,61.2,75,100,7.61,NZ,2022-10-12 21:21:04
183,Dmitriyevskoye,45.8053,41.8967,50.54,64,16,2.66,RU,2022-10-12 21:26:15
184,Sobolevo,54.4299,31.8996,45.23,70,96,4.97,RU,2022-10-12 21:26:16
185,Aswan,24.0934,32.907,79.97,28,0,13.98,EG,2022-10-12 21:26:17
186,Biltine,14.5333,20.9167,87.78,21,2,7.54,TD,2022-10-12 21:26:07
187,Chuguyevka,44.1653,133.8633,39.34,62,89,4.21,RU,2022-10-12 21:26:19
188,Stromness,58.965,-3.296,48.87,81,42,4.0,GB,2022-10-12 21:26:20
189,Bandarbeyla,9.4942,50.8122,78.03,83,15,9.06,SO,2022-10-12 21:25:22
190,Lompoc,34.6391,-120.4579,82.02,80,0,12.66,US,2022-10-12 21:26:23
191,Saint-Philippe,-21.3585,55.7679,67.59,77,38,11.1,RE,2022-10-12 21:26:24
192,Cedar City,37.6775,-113.0619,73.4,16,0,5.75,US,2022-10-12 21:25:25
193,Napoleon,41.3923,-84.1252,73.76,50,100,17.34,US,2022-10-12 21:26:27
194,Saldanha,-33.0117,17.9442,59.05,89,53,16.55,ZA,2022-10-12 21:26:29
195,Conde,-7.2597,-34.9075,78.26,73,0,11.5,BR,2022-10-12 21:26:30
196,Vardo,70.3705,31.1107,42.78,75,100,13.8,NO,2022-10-12 21:21:47
197,Novoorsk,51.381,58.9813,48.85,43,97,9.51,RU,2022-10-12 21:26:32
198,Puerto Escondido,15.85,-97.0667,85.03,58,75,11.5,MX,2022-10-12 21:26:32
199,Lorengau,-2.0226,147.2712,79.41,75,87,2.62,PG,2022-10-12 21:26:33
200,Qaanaaq,77.484,-69.3632,6.6,64,7,7.43,GL,2022-10-12 21:26:35
201,Tuatapere,-46.1333,167.6833,47.91,64,99,3.8,NZ,2022-10-12 21:26:36
202,Cayenne,4.9333,-52.3333,77.04,88,0,2.3,GF,2022-10-12 21:26:37
203,Sinjar,36.3209,41.8754,74.62,25,100,4.68,IQ,2022-10-12 21:26:38
204,Berea,41.3662,-81.8543,71.64,67,75,16.11,US,2022-10-12 21:26:38
